rooms	price	area	address	date	x	y	squaremeter price
4.0	1490.0	106.0	Friedrich-Wilhelm-Platz 3, Friedenau (Schöneberg), Berlin	2017	386427.06125300226	5814959.244487566	14.056603773584905
2.0	684.0	78.0	Niederstraße 19, Rosenthal (Pankow), Berlin	2017	389322.4669639234	5827274.059839088	8.76923076923077
3.0	920.0	78.66	Deulstr. 30, Oberschöneweide (Köpenick), Berlin	2017	398883.49847052665	5813767.1125881625	11.695906432748538
4.0	3500.0	143.0	Mommsenstraße 68a, Charlottenburg (Charlottenburg), Berlin	2017	385915.3255266081	5818294.962545401	24.475524475524477
3.0	1192.0	99.46	Lepsiusst. 20, Steglitz (Steglitz), Berlin	2017	385923.6224390824	5814048.918639367	11.984717474361553
2.0	710.0	58.0	Steglitzer Damm 51 a, Steglitz (Steglitz), Berlin	2017	387528.45663081657	5812454.104142969	12.241379310344827
2.0	518.0	47.0	Ebersstraße 57, Schöneberg (Schöneberg), Berlin	2017	387689.6847467096	5815528.441076239	11.02127659574468
3.0	800.0	93.0	Unter den Eichen 97, Lichterfelde (Steglitz), Berlin	2017	384065.348754809	5811984.36531619	8.602150537634408
2.0	685.0	75.0	Welfenallee 3, Frohnau (Reinickendorf), Berlin	2017	384240.74687380646	5832676.8647196675	9.133333333333333
1.0	325.0	35.9	Otto-Suhr-Allee 62, Charlottenburg (Charlottenburg), Berlin	2017	385417.84850290476	5819799.557913504	9.052924791086351
2.0	740.0	64.19	Libauer 10, Friedrichshain (Friedrichshain), Berlin	2017	394987.200269477	5818746.161647999	11.528275432310329
2.0	780.0	46.34	Griebenowstr. 20, Mitte (Mitte), Berlin	2017	391869.7122411279	5821831.660009737	16.83211048769961
3.0	1443.65	88.9	Chausseestraße 60 a, Mitte (Mitte), Berlin	2017	389850.0069157411	5821976.288156892	16.239032620922384
3.0	1513.45	93.4	Chausseestraße 59 a, Mitte (Mitte), Berlin	2017	389830.5667663644	5821954.581414894	16.203961456102782
4.0	1561.79	103.5	Chausseestraße 58, Mitte (Mitte), Berlin	2017	389848.9420879441	5821961.233984635	15.08975845410628
4.0	1570.19	114.54	Chausseestraße 59b, Mitte (Mitte), Berlin	2017	389830.5667663644	5821954.581414894	13.708660729876026
2.0	456.0	47.98	Elly-Heuss-Knapp-Straße 46, Rudow (Neukölln), Berlin	2017	398495.4289091254	5806725.139595732	9.503959983326387
1.0	529.35	33.09	Alt-Britz 27, Britz (Neukölln), Berlin	2017	394116.98561230383	5812365.458508185	15.997280145058928
2.0	417.0	77.01	Rudower Straße 52, Buckow (Neukölln), Berlin	2017	395312.7823923676	5811026.745068363	5.414881184261784
2.0	579.0	67.82	Bahnhofstraße 7, Lichtenrade (Tempelhof), Berlin	2017	391526.8463715789	5805262.178507122	8.537304629902684
2.0	791.05	60.85	Alt-Britz 25, Britz (Neukölln), Berlin	2017	394116.98561230383	5812365.458508185	12.999999999999998
2.0	545.0	54.4	Gensinger Straße 31, Friedrichsfelde (Lichtenberg), Berlin	2017	400151.09005704115	5819040.367591724	10.018382352941178
3.0	641.0	62.76	Gensinger Straße 31, Friedrichsfelde (Lichtenberg), Berlin	2017	400151.09005704115	5819040.367591724	10.21351179094965
2.0	588.0	58.71	Gensinger Straße 33, Friedrichsfelde (Lichtenberg), Berlin	2017	400150.2216347453	5819028.73539805	10.015329586101176
2.0	548.0	53.64	Gensinger Straße 33, Friedrichsfelde (Lichtenberg), Berlin	2017	400150.2216347453	5819028.73539805	10.216256524981358
2.0	526.39	73.11	Schlangenbader Straße 29C, Wilmersdorf (Wilmersdorf), Berlin	2017	385044.0617246599	5814858.544348908	7.199972643961154
2.0	500.53	71.3	Schlangenbader Straße 29C, Wilmersdorf (Wilmersdorf), Berlin	2017	385044.0617246599	5814858.544348908	7.020056100981767
2.0	591.74	64.32	Eschenweg 60, Spandau (Spandau), Berlin	2017	378464.8834263989	5825863.258092885	9.199937810945276
3.0	957.5	95.75	Togostraße 75, Wedding (Wedding), Berlin	2017	387872.47969007393	5823463.485460396	10.0
2.0	605.18	65.78	Lindenweg 1, Spandau (Spandau), Berlin	2017	378503.30871009815	5826016.75977114	9.20006080875646
1.5	505.0	53.26	Veitstr. 41, Tegel (Reinickendorf), Berlin	2017	383997.427476859	5827624.201256379	9.481787457754413
2.0	1528.2	113.21	Schloßstr. 18, Charlottenburg (Charlottenburg), Berlin	2017	384376.892548349	5819657.097479756	13.498807525836941
3.0	1100.0	97.39	Ebersstraße 75a, Schöneberg (Schöneberg), Berlin	2017	388126.94596640964	5815739.802256033	11.294794126707053
2.0	768.0	66.0	Eberswalder Str. 16, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	392080.09275865264	5822405.485266347	11.636363636363637
3.0	848.73	85.73	Schalkauer Str. 39, Alt-Hohenschönhausen (Hohenschönhausen), Berlin	2017	398848.8874291196	5821961.749931205	9.900034993584509
2.0	642.39	67.62	Parksiedlung Spruch 3-137, Buckow (Neukölln), Berlin	2017	392017.47452721297	5809109.688085662	9.5
2.0	807.43	62.11	Gneisenaustraße 8, Kreuzberg (Kreuzberg), Berlin	2017	390703.94336362346	5816992.539563118	13.0
2.0	452.4	64.08	Kloster-Zinna-Str. 8, Lichtenrade (Tempelhof), Berlin	2017	392307.44932494854	5807011.1118085375	7.059925093632959
